State_name,gdp,governor
Alabama,209852,Kay Ivey
Alaska,45644,Mike Dunleavy
Arizona,350141,Doug Ducey
Arkansas,120812,Asa Hutchinson
California,2893054,Gavin Newsom
Colorado,365009,Jared Polis
Connecticut,262708,Ned Lamont
Delaware,71611,John Carney
Florida,1026676,Ron DeSantis
Georgia,580732,Brian Kemp
Hawaii,98536,David Ige
Idaho,77384,Brad Little
Illinois,807383,J. B. Pritzker
Indiana,344033,Eric Holcomb
Iowa,179037,Kim Reynolds
Kansas,161464,Laura Kelly
Kentucky,193878,Andy Beshear
Louisiana,224129,John Bel Edwards
Maine,61496,Janet Mills
Maryland,398609,Larry Hogan
Massachusetts,546546,Charlie Baker
Michigan,475494,Gretchen Whitmer
Minnesota,348034,Tim Walz
Mississippi,105681,Tate Reeves
Missouri,299131,Mike Parson
Montana,47721,Steve Bullock
Nebraska,119692,Pete Ricketts
Nevada,156421,Steve Sisolak
New Hampshire,78691,Chris Sununu
New Jersey,574018,Phil Murphy
New Mexico,93367,Michelle Lujan Grisham
New York,1587879,Andrew Cuomo
North Carolina,546776,Roy Cooper
North Dakota,49881,Doug Burgum
Ohio,626275,Mike DeWine
Oklahoma,173061,Kevin Stitt
Oregon,233799,Kate Brown
Pennsylvania,723830,Tom Wolf
Rhode Island,56285,Gina Raimondo
South Carolina,224689,Henry McMaster
South Dakota,50951,Kristi Noem
Tennessee,333194,Bill Lee
Texas,1628185,Greg Abbott
Utah,182895,Gary Herbert
Vermont,30175,Phil Scott
Virginia,519912,Ralph Northam
Washington,579695,Jay Inslee
West Virginia,68001,Jim Justice
Wisconsin,314027,Tony Evers
Wyoming,33233,Mark Gordon
